SMILES,NLL
CC1N=N(c2ccccc2)->[Mo+6]2(<-[O-2])(<-[O-]C(=NN->2=Cc2ccccc2)c2ccccc2)<-[O-]c2ccccc21,29.49
Cc1cc[c-](->[Ni+2]2(<-[c-]3ccc(C(C)(C)C)cc3)<-P(OCCP->2(C(C)(C)C)C(C)(C)C)(c2ccccc2)c2ccccc2)cc1,28.56
CC(C)n1cnn(->[Pd+2](<-[CH3-])(<-n2ccc(C(C)(C)C)cc2)<-n2ccc(C(C)(C)C)cc2)c1,22.69
CC1=CC(C)=O->[Ni+14]23(<-[O-]1)<-[O-]C(CCS(=O)(=O)[O-]->2)(C(=O)c1ccccc13)c1ccccc1,40.09
CC(C)(C)[N-2]->[Ti+4]1(<-[N-2]C(C)(C)C)(<-[CH-](C(C)(C)C)[PH](C)(C)N->1c1c(F)c(F)c(Cl)c(F)c1F)<-n1ccccc1,44.23
CC1=N(C)->[Ti+4](<-[Cl-])(<-[CH2-]c2ccccc2)(<-[N-2]c2c(C)cccc2C)<-[N-]1c1c(C)cccc1C,30.45
CC1=C[NH-]->[Ni+2]2(<-[O-]1)<-[O-]c1ccc3ccccc3c1C=N->2CC[NH+](C)C,26.35
Cc12->[Mo+2]3456(<-N(=C(c7ccccc7)[N-]->3c3ccccc3)c3ccccc3)(<-c1(C)c->4(C)[c-]->5(C)c->62C)<-P(C)(C)c1ccccc1,30.93
CSC1=NN2=C(C)c3ccccc3[S-]->C(N)[S-]->[Hg+2]<-2(<-[S-]1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,32.14
c1ccc(P(->[Au+]<-[c-]2cc3cccc(N4CCCCC4)c3o2)(c2ccccc2)c2ccccc2)cc1,23.36
COc1ccccc1C=N1C=c2sccc2=CC2=C(c3ccccc3)(c3ccccc3)->[Ni]<-2<-1<-[c-]1cccc(OC)c1N,49.47
Cc12->[Ti+4]34567(<-[Cl-])(<-[O-][O-]->3)(<-N(Cc3ccccc3)=N[N-]->4c3ccccc3)<-c1(C)c->5(C)[c-]->6(C)c->72C,27.16
CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)[C]1->[Au+]<-[C]1OCCN1c1c(C(C)C)cccc1C(C)C,18.0
CCP(CC)(CC)->[Fe+2]1234(<-[N-]=O)(<-[c-]5ccc(F)cc5)<-c5c->1c->2[cH-]->3c->45,27.92
Cc1ccc(-c2cccc(-c3ccccc3)c2P(c2ccccc2)(c2ccccc2)->[Pd+2]2(<-[Cl-])<-[c-]3cc(C)ccc3-c3ccc(C)c[c-]->23)cc1,28.18
Cc1ccc(C2COc3c(-c4ccco4)ccc[c-]3->[Ir+3]3456(<-[Cl-])(<-c7(C)c->3(C)c->4(C)[c-]->5(C)c->67C)<-N2(C)C)cc1,34.9
CN1(C)CCCN2=Cc3ccccc3[O-]->[Pd+2]<-2<-1<-[Cl-],20.8
CC(C)[Re+]1(<-[O-]CO->1)(C(C)C)C12CC3CC(CC(C3)C1)C2,25.68
CC(C)(C)[N+]#[C-]->[Ru+2]12(<-[C-]#CC3CC3)(<-[c-]3cc(C(C)(C)C)ccc3-c3cc(C(C)(C)C)ccn->13)<-P(CCP->2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,34.48
C[C-](=O)->[Pd+2]1(<-[O-]c2cc3ccccc3cc2[O-]->1)<-[CH-]1CCCCC1,27.33
CC1=CC(C)=N(c2c(C(C)C)cccc2C(C)C)->[Nb+5](<-[N-](C)C)(<-[N-]1c1ccccc1)(<-[N-](C1CCCCC1)C1CCCCC1)<-[N-]([Si](C)(C)C)[Si](C)(C)C,26.14
C=CC=CC(C=CC)=C(C=CC(C)=O->[Zn+2](<-[Cl-])(<-[Cl-])<-N(=CCC(=O)OC)CC(=O)OC)OC,40.63
CS(C)(=O)->[Ru+2]12(<-[Cl-])(<-NCCN->1CCP->2(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,24.69
COc1ccc([C-]2=CSC[Os+2]<-2(<-[C-]#[O+])(<-P(C)(C)C)(<-P(c2ccccc2)(c2ccccc2)c2ccccc2)<-P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1OC,35.24
CCCN(CCC)C(N=C1C=CC=C2C3CCC2C1(C)C3=O)=S->[Ni]1(<-[O-]C1=O)<-[C]1N(CC)c2ccccc2N1Cc1ccccc1,59.21
CC1(C)c2cccc3P(c4ccccc4)(c4ccccc4)->[OsH3+]4(<-S=c5c6ccccc6cc[n-]->45)<-P(c4ccccc4)(c4ccccc4)c4cccc1c4Oc23,28.72
CCOC(=O)C=N1c2ccccc2[O-]->[Mn+]<-1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C]1N(c2c(C)cc(C)cc2C)C=CN1c1c(C)cc(C)cc1C,27.12
CC(c1ccccc1)N1C=CN(Cc2ccccc2)[C]1->[Rh+]123(<-[Cl-])<-C4=C->1CCC->2=C->3CC4,19.16
CC(C[PH](Cc1ccccc1)(c1ccccc1)c1ccccc1)N1C=CN(C)[C]1->[Au+3](<-[Cl-])(<-[I-])<-[I-],36.62
CC(C)c1cccc(C(C)C)c1C1#C2CCP(C(C)C)(C(C)C)->[Pd]<-2<-1,30.37
CCC1CCS(c2ccccc2)->[Ru+2]<-1234(<-[Cl-])(<-[Cl-])C1C(CCC->2=C->3<-C(C)=C->41C)C(=O)OC,36.37
O=C1[O-]->[Rh+]2(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C]3<-[c-]4ccccc4N3c3cccc1n->23,36.08
[O+]#[C-]->[Mo]1(<-[C-]#[O+])(<-[C-]#[O+])(<-NCc2ccccc2)<-Nc2ccccc2P->1(c1ccccc1)c1ccccc1,29.33
CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)[C]1->[Pd]12<-[O-]c3c(C4=NC(C)(C)CO4)cc(C(C)(C)C)cc3N->1Cc1ccccn->21,39.27
CC1c2ccc[n-]2->[Re+]2(<-[C-]#[O+])(<-[C-]#[O+])(<-[O-]c3ccccc3N->2=1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,25.39
CC(C)(C)C1[S-]->[Ir+3]2345(<-[N-]=O)(<-[N-](CN1C(C)(C)C)C(C)(C)C)<-c1(C)c->2(C)c->3(C)[c-]->4(C)c->51C,32.24
Cc1cc(C)c(N2=Cc3ccccc3N(=Cc3cccs3)->[Cd+2]<-2(<-[Br-])<-[I-])c(C)c1,23.74
CCO1c2cc(C(C)(C)C)c(NC=O)c(C(C)(C)C)[c-]2->[Ni+2]<-12<-[N-](CCN->2(C)c1ccccc1)S(=O)(=O)c1ccc(C)cc1,42.29
CS[C-]=CS->[Ni+2](<-S=C(N)N1CCN(C)CC1)(<-[S-]C#N)(<-[S-]C#N)<-[S-]C#N,36.42
COc1ccc2[O-]->[Pt+4](<-[O-]C(C)=O)(<-[O-]C(C)=O)(<-[O-]C(C)C)<-N(=Cc2c1)c1ccccc1OC,32.57
CC1=CC(C)=O->[Fe+2]23(<-[O-]1)(<-[O-]C(C)=C(C=N->2C(=O)c1ccccn->31)c1ccccc1)<-n1cc[nH]c1,40.48
C[Si](C)(C)C#P->[Fe+2]1234(<-[C-]#[O+])(<-c5c->1c->2[cH-]->3c->45)<-N(C#Cc1ccccc1)=c1cccc[n-]1,37.17
C[Si](=O)C#Cc1ccn(->[Zn+2](<-[Cl-])(<-[Cl-])<-n2ccc(C(=O)OCCCBr)cc2)cc1,34.38
CCCN(C)C(=O)CN1(C)CCN(C)(C)->[Ni+2]<-1(<-[Cl-])<-P(C1CCCCC1)(C1CCCCC1)C1CCCCC1,37.15
CCCN1(CC)CCC2=CC=C3C=N4CCCN5=Cc6ccccn6->[Ru+2]<-4<-5<-1(<-[Cl-])(<-[Cl-])<-N3(Cc1ccccc1)C2,34.83
Fc1ccc(-n2cc3-c4ccccn4->[Ir+3]4(<-[Cl-])(<-[Cl-])(<-N(=C(c5c(F)cccc5F)c5c(F)c(F)nc(F)c5F)c5ccccc5P->4(c4ccccc4)c4ccccc4)<-n3n2)c(F)c1,36.12
O->[Ni+2]123<-[O-]c4ccccc4C=N->1c1ccccc1N->2=Cc1ccccc1[O-]->3,20.59
CCCC1=P(C2CCCCC2)->[Pt+2](<-[Cl-])(<-[Cl-])<-P1(c1ccccc1)c1ccccc1,23.21
N->[Zn+2](<-[I-])(<-[N-]1C=Cc2ccc3cc4c5c(c1c2<-N5=CC=C3)C=C4)<-N1CCOCC1,37.61
[CH3-]->[Pt+2]123<-B4CCC5->C41C1CCC(CC1)C->2=C->3=CC1CC=CNC=51,44.55
COCCCN1=Cc2cccc(OC)c2[O-]->[Ag+]<-12(<-N)<-NC->2C,28.46
c1ccc(P(c2ccccc2)(c2ccccc2)->[Pt+2]2(<-S=c3cccc[n-]->23)<-P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,17.34
C(#[C-]->[Ru+2]12345(<-c6c->1c->2[cH-]->3c->46)<-P(CCP->5(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)C1=CC=C2[Rh+3]<-n3c1cccc32,39.72
c1ccc2c(c1)CCC1N3CCCN4CCN5CCCN<-4->[Ag+]<-5<-N1(CCC3)C2,28.98
[Cl-]->[Pt+2]12<-[c-]3ccccc3CN->13CCN->2CC3,23.18
Cc12->[Rh+3]3456(<-[I-])(<-[NH-]c7ccccc7P->3(c3ccccc3)c3ccccc3)<-c1(C)c->4(C)[c-]->5(C)c->62C,21.42
CCP(CC)(CC)->[RuH3-](<-[Cl-])(<-C1=C2[Si](O<-N2CCC1C)(C(C)(C)C)C(C)(C)C)<-P(CC)(CC)CC,47.41
[O+]#[C-]->[Ru](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[Se-]C=C(c1ccccc1)c1ccccc1,23.95
[Cl-]->[Rh+]123(<-C4=C->1C1C4c4ccccc4P->2(c2ccccc2)c2ccccc2C->31)<-n1ccccc1,25.6
CC1=NN23Cc4cc(C)cc(C)c4[O-]->[Mo+6]<-2(<-[O-2])(<-[O-2])(<-[O-]1)<-[O-]c1c(CN2CCCOCC2)cc(C)cc1C3,34.86
CCN(CC)C1CC(C)N2CCN->[Mo+6]<-2(<-[O-2])(<-[Cl-])(<-[Cl-])<-S=1,33.2
Cc12->[Ru+2]3456(<-[CH2-]C(c7ccccc7)(c7ccccc7)C78O[C]->3C3C9CC(CC7C9)CC38)(<-c1(C)c->4(C)[c-]->5(C)c->62C)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,39.58
CC(C)P1(c2cc(C(C)(C)C)cn3->[Fe+2]<-1(<-[C-]#[O+])(<-[C-]#[O+])<-[c-]1cc([Si](C)(C)C)ccc1-c23)C(C)C,34.05
[O+]#[C-]->[Cr](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-S=c1ccc(C(F)(F)F)n[nH]1,18.07
Cc1ccc(N[C](Nc2cc(C)cc(C)c2)N2N=C(Nc3ccc(C)cc3)[S-]->[Zn+2]<-23<-N(=CC=N->3c2ccc(C(C)(C)C)cc2)c2ccc(C)cc2)cc1,34.26
CC(C)c1ccccc1[N-]1N=N(c2ccccc2)->[Mn+]<-1(<-[I-])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+],29.62
Cn1ccc(N)n(->[Au+]<-P(c2ccccc2)(c2ccccc2)c2ccccc2)c1=O,14.89
CC(C)P1(CC[PH](c2ccccc2)(c2ccccc2)c2ccccc2CN2C=CC=C3C(=O)C=[C-](c4ccccc4)->[Ru+2]<-1(<-[C-]#[O+])(<-[CH]c1ccccc1)<-[C]32)c1ccccc1,49.34
c1ccc2-c3[nH]c4ccccc4n3->[Hg+8]3(<-[S-]c2c1)<-n1cccc2ccc4cccn->3c4c21,29.91
CC1=C(C)N(C(C)C)[C](->[Rh+]2(<-[C]3N(C(C)C)C=CN3C(C)C)<-[C]3N(CCN4C=CN(C(C)(C)C)[C]->24)C=CN3C(C)(C)C)N1C(C)C,20.68
Cc1ccc(P(c2ccc(C)cc2)(c2cc(C)cc(C)c2)->[Ru+2]2345(<-[C]=Cc6cccc(C#N)c6)(<-c6c->2c->3[c-]->4(C)c->56)<-P(C)(C)C)cc1,37.63
CN1C=CN2CN(C)(C)->[Pt+2](<-[Br-])(<-[Br-])<-[C]12,20.49
CN1C=CN(C)[C]1->[Rh+]123(<-[Cl-])<-C4=CCC->1CCC->2=C->3CC4,18.56
CC1=CC(C)=O->[Ni+2](<-[O-]1)(<-P(c1ccccc1)(c1ccccc1)C(C)C)<-P(C(C)C)(C(C)C)C(C)C,21.5
CO->[Zn+2]1(<-[O-]CC2OCCC2=N->1O)(<-[O-]C(=O)c1ccccc1)<-OC,30.69
Cc1ccc([O-]->[Mo+4](<-[Cl-])(<-[Cl-])(<-P(C)CC(C)(C)C)(<-P(C)(C)C(C)(C)C)<-[As](C)(C)c2ccccc2)cc1,46.8
Clc1ccc(C2=NC(=[N-]->[Pd+2](<-[Cl-])(<-[O-]2)<-n2ccccc2)c2ccc(Cl)cc2)cc1,23.82
[O+]#[C-]->[Mn+]1234(<-[C-]#[O+])(<-[C-]#[O+])<-c5c->1c->2[cH-]->3c->45,13.84
CC1c2ccccn2->[Mo+6]2(<-[O-2])(<-[O-2])(<-[O-2])<-[O-]c3c(N->2<-N=1NC(=O)c1cc(C)n(-c2c(C(C)C)cccc2C(C)C)n1)nc(C)nc3C(C)(C)C,40.66
CC(C)N(C(C)C)P1(->[Au+]<-[Cl-])OCC(C)(C)CO1,16.93
CN(C)C1=S->[Y+3]23(<-S=C([S-]->2)N2CCCC2)(<-[S-]1)(<-[S-]N->3(C)C)<-P(C)(C)C,28.38
O=S1(=O)[O-]->[W+6](<-[Cl-])(<-[Cl-])(<-[N-2]c2ccccc2)(<-[O-]c2c(-c3ccccc3)ccc(-c3ccccc3)c2-c2ccccc2)<-[O-]1,29.1
CCN1(CC)Cc2ccc[n-]2->[Zn+2]<-1(<-[O-]C(C)=O)<-n1ccccc1,29.52
C1=CN2P3(CCP(c4ccccc4)(c4ccccc4)->[Pd+2]<-34(<-[C]2N1c1ccccc1)<-P(NP->4(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1,39.87
C=CCN12->[Zn+2](<-[N-]3C(C(C)(C)C)C(C(C)(C)C)C3(C)C)(<-[N-]([Si](C)(C)C)[Si](C)(C)C)<-N(C)(CC1)CC2,39.59
COc1ccn2->[Cr](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n3ccc(OC)cc3-c2c1,17.66
CP(C)(C)->[Mn+]1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-NCCN->1,25.48
COc1ccc2C=N3c4ccccc4[NH-]->[RuH2]<-3(<-[Br-])<-P(<-[O-]c2c1)(C(C)(C)C)C(C)(C)C,39.18
CC(C)P1(c2cccc3c2C2=C([S-]->[Hg+2]<-1<-[S-]C(C)(C)C)C=CC=C(O2)C3(C)C)C(C)C,30.66
COc1cc[c-]2->[Rh+]345(<-C6=C->3CCC->4=C->5CC6)<-N(=Cc2c1)c1c(C(C)C)cccc1C(C)C,19.26
CC(C)(C)P1(Cc2cccc[c-]2->[Zn+2]<-12<-[O-]c1ccccc1[PH](NP->2(C(C)(C)C)C(C)(C)C)(C(C)(C)C)C(C)(C)C)C(C)(C)C,31.26
CC(C)(C)c1cc2C(NC3CCCCC3)=S->[Ni](<-[O-]c2c(C(C)(C)C)c1)(<-P(C)(C)C)<-P(C)(C)C,24.94
Cc1cc(C)c(-c2cc(C)c3ccccc3c2C=[C-](->[Au+]<-[Cl-])c2c(C)cc(C)cc2C)c(C)c1,24.88
CO[C-](=O)->[Fe+2]1234(<-[C-]#[O+])(<-[C-]#[O+])<-c5c->1c->2[cH-]->3c->45,15.53
CCCOc1cccc2C=N3COCC(C)(C)N4C(=NS(=O)(=O)c5ccc(C)cc5)c5ccccn5->[Zn+2]<-3<-4(<-[CH2-]C=Nc3ccccc3)<-[O-]c21,53.3
CCCCN1=C(C)c2ccccn2->[Cd+2]<-12(<-[N-]=C=S)<-n1ccccc1CN->2CCc1ccccn1,28.07
CC#N->[Cu+](<-N#CN1CCCO1)(<-S=C(NN=Cc1cccs1)NC12CC3CC(CC(C3)C1)C2)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,35.33
CC(C)(C)c1nnn2-c3ccccn3->[Ir+3]3456(<-[Cl-])(<-n12)<-c1(C)c->3(C)c->4(C)[c-]->5(C)c->61C,22.63
[O+]#[C-]->[Os]1(<-[C-]#[O+])(<-[C-]#[O+])(<-P(CP->1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,21.07
CC(C)P1(c2cc([Si](C)(C)C)ccc2[N-](C(C(C)(C)C)C(C)(C)C)->[Ni+2]<-12<-[CH-]1C=CC=C[PH2-]->21)C(C)(C)C,39.06
COP(OC)(OC)->[Co+3]1234(<-[C-]#[O+])(<-[C-]#[O+])(<-c5c->1c->2[c-]->3(C)c->45)<-P(c1ccccc1)c1ccccc1,30.14
Cc1cc(C)c(N2CCCN3CCCN->[Ir+]<-3<-2(<-[Cl-])<-[C-]#[O+])c(C)c1,29.2
C[n+]1nn(-c2ccccc2N=NN(->[Hg+2]<-[N-]2C(=O)c3ccccc3S2(=O)=O)c2ccc(N([O-])[O-])cc2N([O-])[O-])nc1-c1ccccc1,34.39
O=C(O)c1ccc([S-]->[Pd+2]2(<-[Br-])<-P(CCOP->2(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)cc1,28.23
CC(C)[O-]->[W+6](<-[O-]C(C)C)(<-[O-]C(C)(C)C(F)(F)F)(<-[O-]C(C)(C(F)(F)F)C(F)(F)F)(<-[O-]C(C)(C(F)(F)F)C(F)(F)F)<-N(C(C)C)C(C)C,24.86
[Cl-]->[Pd+2]1(<-[Cl-])<-N(c2ccccc2)N(CP->1(c1ccccc1)c1ccccc1)c1ccccc1,20.5
COC(=O)CCCCC1=C2C=CC3=[Cd+2]145(<-[O-][N+](=O)[O-]->C1C=CC6=N4->N->5=C(C=1c1cccnc1)<-n1ccccc1C6=C23)<-OC,49.83
CC(=O)c1ccn(->[Zn+2](<-[N-]=C=S)(<-[N-]=C=S)(<-n2ccc(N(C)C)cc2)<-n2ccn(C)c2)cc1,26.61
COCC1#C(c2ccccc2)->[Ru+2]<-1(<-[Cl-])(<-[Cl-])<-[C]1N(c2c(C(C)C)cccc2C(C)C)CCCCN1c1c(C(C)C)cccc1C(C)C,25.47
[O+]#[C-]->[RuH+]1(<-[Cl-])(<-[C-]#[O+])<-P(CCP->1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,17.35
CC#N->[Ir+3]1(<-[Cl-])(<-[Cl-])(<-n2ccccc2)<-N(C)CCO->1C,29.44
CC12=C->[IrH+2]<-1(<-[CH2-]2)(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,22.0
[Cl-]->[Pd+2]1(<-[c-]2ccccc2Cc2ccccc2OP->1(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)C1CCCCC1,21.8
Fc1ccc(C#[C-]->[RuH+]23(<-P(CCC[As]->2(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)<-P(CCP->3(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)cc1,28.06
[Cl-]->[Cd+2]123(<-N(Cc4ccccn->14)=C(c1cccnc1)c1ccccn->21)<-n1ccccc1-c1ccccn->31,31.5
CCOP(=O)(Oc1ccc(C)cc1)[S-]->[Cd+2]123(<-C=C->1[CH2-]->2)<-[PH](=NC(C)(C)C)(C(C)(C)C)[PH]->3(C(C)(C)C)(C(C)(C)C)C(C)(C)C,60.2
[O+]#[C-]->[Fe]1234(<-[C-]#[O+])(<-[C-]#[O+])<-C=C->15N->2C5(CCC->3CCP->4(c1ccccc1)c1ccccc1)c1ccccc1,40.48
Cc1cc(C)n2->[W+2]3(<-[C-]#[O+])(<-[C-]#[O+])(<-[N-]=O)<-n4c(C)cc(C)n4[BH-](n12)n1c(C)cc(C)n->31,14.4
Cc1cc(C)n(->[Zn+6](<-[O-]C(=O)CSc2nc3ccccc3[nH]2)<-[O-]C(=O)CC(O)CO)[nH]1,33.08
C[Si](C)(C)C12->[W+4]345(<-[Cl-])(<-[Cl-])(<-[Cl-])<-[CH2-][Si](C)(S->31)C->4([Si](C)(C)C)[C+]([S-]->5)N2Cc1ccccc1,57.68
Cc1c(C)n2CCN3[BH2-]N4C=CC(C(C)(C)C)=CC4=NC3=S->[Ti+4](<-[N-]=O)(<-[N-]=S)(<-[N-]=C=S)<-n2c1C,43.93
CC(C)P(CCP(C)(C)->[Fe](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-P(c1ccccc1)C1CCCCC1)C(C)C,28.57
COc1ccc(OP2(=C->[Pd+2](<-[Cl-])(O2)<-[PH](=O)(c2ccccc2)c2c(OC)cccc2-c2cc3cc(OC)ccc3oc2=O)Oc2ccc3ccccc3c2)cc1,49.72
CCP(CC)(=S->[Cu+](<-P(c1ccccc1)c1ccccc1)(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1,24.22
CS(C)=O->[Mo+6]12(<-[CH3-])(<-[O-2])<-[O-]C(=O)CN->1=Cc1cc(C(C)(C)C)cc(C(c3ccccc3)c3ccccc3)c1[O-]->2,35.46
F[C-](F)(F)->[Au+3]1(<-[Cl-])(<-[c-]2ccccc2-c2ccccn->12)<-[C-](F)(F)F,22.57
Cc1cc(C)c(N)c([Se][S-]->[Pt+2]23<-N=C(N=C(NC(N)[S-]->2)[S-]->3)c2ccccc2)c1,41.02
